OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,TaxParcelIdentificationNumber,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,TotalGHGEmissions,GHGEmissionsIntensity
21177.0,NonResidential,Small- and Mid-Sized Office,4 Nick,4 Nickerson,1972206360,MAGNOLIA / QUEEN ANNE,1986.0,1.0,3.0,40067.0,0.0,40067.0,Office,Office,40067.0,RAS,0.0,RAS,0.0,43.0,57.5,57.5,180.5,180.5,2303732.75,2303732.75,0.0,2303732.0,0.0,False,16.06,0.4
21178.0,NonResidential,Small- and Mid-Sized Office,6 Nick,6 Nickerson,1972206390,MAGNOLIA / QUEEN ANNE,1989.0,1.0,3.0,26419.0,6922.0,19497.0,Office,Office,26419.0,RAS,0.0,RAS,0.0,67.0,40.70000076,40.70000076,127.8000031,127.8000031,1074989.0,1074989.0,0.0,1074989.0,0.0,False,7.49,0.28
21179.0,NonResidential,Small- and Mid-Sized Office,2 Nick,2 Nickerson,1972206435,MAGNOLIA / QUEEN ANNE,1979.0,1.0,3.0,25262.0,0.0,25262.0,Office,Office,25262.0,RAS,0.0,RAS,0.0,54.0,58.20000076,59.70000076,158.3000031,159.8999939,1469556.25,1508578.25,0.0,1174674.0,294882.0,False,23.85,0.94
21180.0,NonResidential,Other,"Seventeen Meters, LLC",437 N 34th Street,1972206512,LAKE UNION,1996.0,0.0,3.0,53103.0,0.0,53103.0,Other,Other,38723.0,RAS,0.0,RAS,0.0,65.44972577696527,126.0,126.0,390.7000122,390.7999878,4877959.0,4879644.0,0.0,4788878.0,89080.0,False,38.12,0.72
21181.0,NonResidential,Small- and Mid-Sized Office,Canal Place - 150 Building,150 Nickerson Street,1972206650,MAGNOLIA / QUEEN ANNE,1980.0,1.0,3.0,34106.0,0.0,34106.0,Office,Office,32739.0,RAS,0.0,RAS,0.0,57.0,49.5,54.5,155.3000031,171.1999969,1619177.125,1785202.125,0.0,1619177.0,0.0,False,11.29,0.33
21182.0,NonResidential,Small- and Mid-Sized Office,Canal Place - 130 Building,130 Nickerson Street,1972206650,MAGNOLIA / QUEEN ANNE,1980.0,1.0,3.0,34545.0,0.0,34545.0,Office,Office,34545.0,RAS,0.0,RAS,0.0,29.0,67.0,67.0,210.3000031,210.3000031,2313978.75,2313978.75,0.0,2313979.0,0.0,False,16.13,0.47
21183.0,NonResidential,Small- and Mid-Sized Office,Canal Place Office Park,180 & 192 Nickerson St,1972206670,MAGNOLIA / QUEEN ANNE,1980.0,1.0,3.0,70296.0,0.0,70296.0,Office,Office,70296.0,RAS,0.0,RAS,0.0,86.0,39.59999847,42.90000153,124.3000031,134.8000031,2782066.5,3018885.75,0.0,2782066.0,0.0,False,19.39,0.28
25660.0,NonResidential,Small- and Mid-Sized Office,Union Trust Annex,117 S. Main,5247800365,DOWNTOWN,1902.0,1.0,4.0,27838.0,0.0,27838.0,Office,Office,27838.0,RAS,0.0,RAS,0.0,77.0,43.70000076,45.40000153,137.3000031,142.6999969,1217509.125,1265151.625,0.0,1217509.0,0.0,False,8.49,0.3
21192.0,NonResidential,Distribution Center,Alaska Marine Lines,5615 W Marginal Way SW,1924049081,DELRIDGE,1971.0,2.0,2.0,28368.0,0.0,28368.0,"Distribution Center, Office",Distribution Center,35300.0,Office,9408.0,RAS,0.0,65.44972577696527,41.5,43.20000076,113.0999985,114.8000031,1856230.625,1931830.75,0.0,1486130.0,370100.0,False,30.02,1.06
21208.0,NonResidential,Other,Stone Avenue Building,13100 Stone Avenue North,1926049122,NORTHWEST,1964.0,1.0,2.0,92080.0,0.0,92080.0,Other,Other,92129.0,RAS,0.0,RAS,0.0,65.44972577696527,56.0,58.29999924,130.8999939,133.3000031,5155090.5,5368434.5,0.0,3179345.0,1975745.0,False,127.1,1.38
21212.0,NonResidential,Other,Granite Curling Club,1440 N 128th St,1926049180,NORTHWEST,1961.0,1.0,1.0,20236.0,0.0,20236.0,Other - Recreation,Other - Recreation,20236.0,RAS,0.0,RAS,0.0,65.44972577696527,97.09999847,103.1999969,224.6000061,236.1999969,1965182.25,2089365.125,0.0,1187424.0,777758.0,False,49.58,2.45
21213.0,NonResidential,Small- and Mid-Sized Office,"Cochran, Inc",12500 Aurora Avenue North,1926049190,NORTHWEST,1951.0,1.0,2.0,39815.0,0.0,39815.0,"Non-Refrigerated Warehouse, Office",Office,27118.0,Non-Refrigerated Warehouse,12697.0,RAS,0.0,62.0,51.5,54.20000076,132.1999969,135.1000061,2050600.75,2158188.5,0.0,1488811.0,561790.0,False,40.22,1.01
21216.0,Nonresidential COS,Other,Mary's Place (PI Bank),1155 (1157) N 130th Ave,1926049218,NORTHWEST,1970.0,1.0,4.0,25557.0,0.0,25557.0,Residential Care Facility,Residential Care Facility,25557.0,RAS,0.0,RAS,0.0,65.44972577696527,89.19999695,89.19999695,280.2000122,280.2000122,2280352.5,2280352.5,0.0,2280352.0,0.0,False,15.9,0.62
21218.0,Nonresidential COS,Other,HLF FFD VMG (A),12645 Ashworth Ave N,1926049286,NORTHWEST,1958.0,1.0,2.0,26994.0,0.0,26994.0,"Office, Other - Services",Other - Services,16243.0,Office,10751.0,RAS,0.0,65.44972577696527,114.0,123.0,187.8999939,197.3999939,3076813.25,3320817.0,0.0,881662.0,2195151.0,False,122.73,4.55
21219.0,NonResidential,Warehouse,Comcast,12645 Stone Ave N,1926049290,NORTHWEST,1972.0,1.0,1.0,48112.0,0.0,48112.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,48112.0,RAS,0.0,RAS,0.0,73.0,30.89999962,30.39999962,97.0,95.5,1485945.875,1463960.0,0.0,1485946.0,0.0,False,10.36,0.22
21221.0,NonResidential,Other,(ID#21221) KC Metro Transit North Facilities Maintenance,12525 STONE AVE N,1926049293,NORTHWEST,2009.0,1.0,1.0,20909.0,0.0,20909.0,"Other - Public Services, Parking",Other - Public Services,19050.0,Parking,0.0,RAS,0.0,65.44972577696527,63.40000153,68.09999847,141.0,145.8999939,1208029.25,1296995.0,0.0,678411.0,529618.0,False,32.86,1.57
21226.0,NonResidential,Small- and Mid-Sized Office,Laurel Building,911 N 145th,1926049335,NORTHWEST,2001.0,1.0,2.0,42793.0,16518.0,26275.0,"Office, Parking",Office,26275.0,Parking,16518.0,RAS,0.0,27.0,67.40000153,71.19999695,211.8000031,223.6000061,1772188.5,1871245.75,0.0,1772188.0,0.0,False,12.35,0.29
21233.0,NonResidential,Other,Fitness International North Seattle,13244 Aurora Avenue North,1926049370,NORTHWEST,2007.0,1.0,2.0,45000.0,0.0,45000.0,Other - Recreation,Other - Recreation,45000.0,RAS,0.0,RAS,0.0,65.44972577696527,131.3999939,135.6999969,276.1000061,280.5,5912066.0,6104259.5,0.0,2973668.0,2938397.0,False,176.79,3.93
21236.0,NonResidential,Retail Store,PETSMART 0375 (ID21236),13000 AURORA AVE N,1926049423,NORTHWEST,1998.0,1.0,1.0,26115.0,0.0,26115.0,Retail Store,Retail Store,26115.0,RAS,0.0,RAS,0.0,43.0,64.69999695,67.40000153,159.8000031,161.5,1689372.625,1760626.0,0.0,1148350.0,541023.0,False,36.74,1.41
21239.0,NonResidential,Worship Facility,Seattle North,5701 8th Ave N,1928300405,NORTHEAST,1949.0,1.0,1.0,26033.0,0.0,26033.0,"Parking, Worship Facility",Worship Facility,30044.0,Parking,0.0,RAS,0.0,78.0,38.20000076,44.70000076,63.79999924,72.30000305,1149140.25,1343672.875,0.0,340323.0,808817.0,False,45.33,1.74
21243.0,NonResidential,K-12 School,"Seattle Country Day School Bldgs 1,2 & 4",2619 4th Ave North,1929300110,MAGNOLIA / QUEEN ANNE,2007.0,1.0,4.0,48660.0,0.0,48660.0,K-12 School,K-12 School,49468.0,RAS,0.0,RAS,0.0,82.0,38.0,42.79999924,74.69999695,80.40000153,1881516.125,2115259.0,0.0,822509.0,1059007.0,False,61.98,1.27
21244.0,NonResidential,Senior Care Community,Queen Anne Healthcare,2717 Dexter Ave N,1929300390,MAGNOLIA / QUEEN ANNE,1970.0,1.0,2.0,46539.0,0.0,46539.0,Senior Care Community,Senior Care Community,46539.0,RAS,0.0,RAS,0.0,73.0,116.0,120.0999985,225.3999939,232.6999969,5400049.5,5589312.5,0.0,2306556.0,3093493.0,False,180.38,3.88
21262.0,NonResidential,Residence Hall,(ID21262) El Rey Apts,2119 2ND AVE,1977200720,DOWNTOWN,1909.0,1.0,4.0,29796.0,0.0,29796.0,Residence Hall/Dormitory,Residence Hall/Dormitory,29796.0,RAS,0.0,RAS,0.0,47.0,75.0,77.5,138.0,140.6999969,2233262.0,2309752.75,0.0,845812.0,1387450.0,False,79.58,2.67
21265.0,NonResidential,Retail Store,N0030 - Patagonia/DKA,2100 First Avenue & 106 Lenora Street,1977200735,DOWNTOWN,1920.0,1.0,2.0,26400.0,0.0,26400.0,"Office, Parking, Retail Store",Retail Store,14428.0,Office,7200.0,Parking,2788.0,36.0,45.5,46.90000153,121.3000031,121.1999969,983595.875,1013921.625,0.0,761163.0,222433.0,False,17.12,0.65
21266.0,NonResidential,Small- and Mid-Sized Office,First & Lenora,2030 First Avenue,1977200855,DOWNTOWN,1918.0,1.0,3.0,38148.0,0.0,38148.0,"Office, Retail Store",Office,37853.0,Retail Store,12495.0,RAS,0.0,98.0,25.10000038,25.10000038,78.69999695,78.69999695,1262255.75,1262255.75,0.0,1262255.0,0.0,False,8.8,0.23
21270.0,NonResidential,Mixed Use Property,Rex Land Building (Block 56SE) - SEDO,401 8th Ave. North,1988201370,LAKE UNION,1928.0,1.0,2.0,28800.0,0.0,28800.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,14400.0,Office,14400.0,RAS,0.0,65.44972577696527,15.89999962,18.10000038,34.79999924,37.09999847,456953.0,521523.1875,0.0,249311.0,207642.0,False,12.77,0.44
21278.0,NonResidential,Worship Facility,Church of Scientology Washington State,300 W Harrison St,1989200520,MAGNOLIA / QUEEN ANNE,1955.0,1.0,5.0,31945.0,0.0,31945.0,"Parking, Worship Facility",Worship Facility,31945.0,Parking,0.0,RAS,0.0,4.0,56.5,56.5,177.6000061,177.6000061,1806468.0,1806468.0,0.0,1806468.0,0.0,False,12.59,0.39
21290.0,NonResidential,Small- and Mid-Sized Office,Salvation Army NW Div. HQ,111 Queen Anne Ave N,1989200945,MAGNOLIA / QUEEN ANNE,1985.0,1.0,5.0,85963.0,33055.0,52908.0,"Office, Parking",Office,52908.0,Parking,33055.0,RAS,0.0,43.0,84.69999695,84.69999695,265.8999939,265.8999939,4480961.0,4480961.0,0.0,4480960.0,0.0,False,31.24,0.36
21310.0,NonResidential,Retail Store,DILLER BUILDING (ID21310),1216 1st Ave.,1974700170,DOWNTOWN,1900.0,1.0,4.0,34680.0,0.0,34680.0,Retail Store,Retail Store,34680.0,RAS,0.0,RAS,0.0,92.0,33.70000076,36.29999924,82.09999847,86.90000153,1169948.875,1259828.25,0.0,774990.0,394959.0,False,26.38,0.76
21313.0,NonResidential,Worship Facility,Plymouth Congregational Church,1217 6th Ave,1975700006,DOWNTOWN,1968.0,1.0,3.0,75058.0,34510.0,40548.0,Worship Facility,Worship Facility,75058.0,RAS,0.0,RAS,0.0,24.0,74.40000153,82.69999695,107.5999985,116.3000031,5587347.0,6207115.5,0.0,1057107.0,4530240.0,False,247.97,3.3
21315.0,NonResidential,Small- and Mid-Sized Office,1518 Fifith Ave,1520 Fifth Ave,1975700135,DOWNTOWN,1903.0,1.0,3.0,57720.0,0.0,57720.0,Office,Office,25000.0,RAS,0.0,RAS,0.0,65.44972577696527,1.0,1.0,3.0,3.0,24105.5,24105.5,0.0,24105.0,0.0,False,0.17,0.0
21317.0,NonResidential,Retail Store,Coliseum,1506 Fifth Avenue,1975700155,DOWNTOWN,1915.0,1.0,1.0,36504.0,0.0,36504.0,Retail Store,Retail Store,16200.0,RAS,0.0,RAS,0.0,2.0,129.6999969,132.6000061,390.1000061,393.1000061,2100982.75,2147472.5,0.0,1968493.0,132489.0,False,20.76,0.57
21318.0,NonResidential,Small- and Mid-Sized Office,Westlake Place,1520 4th Avenue,1975700195,DOWNTOWN,1907.0,1.0,6.0,35200.0,0.0,35200.0,Office,Office,35200.0,RAS,0.0,RAS,0.0,8.0,85.19999695,85.19999695,267.5,267.5,2998208.25,2998208.25,0.0,2998208.0,0.0,False,20.9,0.59
21319.0,NonResidential,Small- and Mid-Sized Office,4th Avenue Building,1408 4th Avenue,1975700275,DOWNTOWN,1907.0,1.0,5.0,35840.0,0.0,35840.0,Office,Office,35840.0,RAS,0.0,RAS,0.0,83.0,42.90000153,48.09999847,87.30000305,92.69999695,1538750.625,1724638.75,0.0,723240.0,815511.0,False,48.35,1.35
21321.0,NonResidential,Other,5265050802 - WM1084 Fifth and Union,1401 5th AVE,1975700281,DOWNTOWN,1941.0,1.0,2.0,25920.0,0.0,25920.0,Bank Branch,Bank Branch,23230.0,RAS,0.0,RAS,0.0,60.0,57.40000153,58.40000153,180.1999969,183.3999939,1333432.125,1356947.75,0.0,1333432.0,0.0,False,9.3,0.36
21322.0,NonResidential,Small- and Mid-Sized Office,Fourth and Union,1404 Fourth Ave,1975700290,DOWNTOWN,1928.0,1.0,4.0,30525.0,0.0,30525.0,"Office, Retail Store",Office,15609.0,Retail Store,6104.0,RAS,0.0,17.0,132.8000031,137.8000031,349.0,355.0,2883139.0,2991557.25,762032.8125,2121106.0,0.0,False,73.61,2.41
21328.0,NonResidential,Other,Seattle First Hill,1334 Terry Avenue,1978200320,EAST,1964.0,1.0,4.0,49243.0,0.0,49243.0,Other/Specialty Hospital,Other/Specialty Hospital,52284.0,RAS,0.0,RAS,0.0,65.44972577696527,162.1000061,162.3999939,472.5,472.7999878,8476183.0,8491346.0,0.0,7560588.0,915594.0,False,101.34,2.06
21336.0,NonResidential,Other,University Club,1004 Boren Ave,1978200605,EAST,1912.0,0.0,3.0,20411.0,0.0,20411.0,Social/Meeting Hall,Social/Meeting Hall,20411.0,RAS,0.0,RAS,0.0,65.44972577696527,98.69999695,105.0999985,183.0,189.6999969,2014475.875,2145049.5,0.0,774943.0,1239533.0,False,71.23,3.49
21351.0,NonResidential,Medical Office,Swedish Alcoa Building,1401 Madison St,1978201116,EAST,1962.0,1.0,2.0,30855.0,10285.0,20570.0,Medical Office,Medical Office,21571.0,RAS,0.0,RAS,0.0,2.0,136.6000061,145.1000061,292.3999939,298.5,2946756.25,3129807.0,0.0,1537788.0,1408968.0,False,85.55,2.77
21353.0,NonResidential,Small- and Mid-Sized Office,FIRST BAPTIST CHURCH,1111 Harvard Ave.,1978201205,EAST,1910.0,1.0,3.0,73549.0,0.0,73549.0,"Office, Worship Facility",Office,41632.0,Worship Facility,31917.0,RAS,0.0,90.0,38.5,43.59999847,66.69999695,72.19999695,2828950.5,3209164.5,0.0,927581.0,1901370.0,False,107.45,1.46
21364.0,NonResidential,Other,Pacific Northwest Research,720 Broadway,1978201421,EAST,1988.0,1.0,5.0,45780.0,11400.0,34380.0,"Other - Education, Parking",Other - Education,45780.0,Parking,4500.0,RAS,0.0,65.44972577696527,236.6999969,252.1000061,509.0,527.5999756,10834087.0,11542708.0,5473370.5,5305454.0,55262.0,False,462.4,0.88
21365.0,NonResidential,Medical Office,Northwest Kidney Center (21365),700 Broadway,1978201435,EAST,1963.0,0.0,3.0,39115.0,0.0,39115.0,Medical Office,Medical Office,50000.0,RAS,0.0,RAS,0.0,42.0,74.69999695,76.80000305,203.8000031,205.8999939,3735308.5,3838425.0,0.0,2998320.0,736988.0,False,60.04,1.53
21366.0,NonResidential,Other,Town Hall Seattle,1119 8th Avenue,1979200050,EAST,1916.0,1.0,3.0,38038.0,0.0,38038.0,"Food Service, Office, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,35886.0,Office,1184.0,Food Service,436.0,65.44972577696527,29.5,33.5,57.5,62.79999924,1107290.625,1255324.0,682047.625,425243.0,0.0,False,55.61,1.46
21367.0,NonResidential,Worship Facility,First Presbyterian Church of Seattle,1013 8th Ave,1979200090,EAST,1962.0,1.0,3.0,37796.0,0.0,37796.0,"Parking, Worship Facility",Worship Facility,53000.0,Parking,17600.0,RAS,0.0,55.0,46.5,52.29999924,87.69999695,96.0,2465983.5,2769792.0,1379517.75,883838.0,202628.0,False,123.41,3.27
21380.0,Nonresidential COS,Small- and Mid-Sized Office,System Operations Center,614 NW 46th St,1982201065,Ballard,1993.0,1.0,1.0,27744.0,0.0,27744.0,"Data Center, Office, Other",Office,18380.0,Other,6060.0,Data Center,3304.0,65.44972577696527,193.0,193.0,606.2000122,606.2000122,5355753.0,5355753.0,0.0,5355752.0,0.0,False,37.34,1.35
21382.0,NonResidential,Warehouse,Superior Self Storage,832 NW 48,1982201700,BALLARD,1960.0,1.0,1.0,36444.0,0.0,36444.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,36444.0,RAS,0.0,RAS,0.0,80.0,4.400000095,4.599999905,13.89999962,14.60000038,161311.0938,169464.0938,0.0,161311.0,0.0,False,1.12,0.03
21388.0,NonResidential,Warehouse,lee warehouse,4259 8th Avenue NW,1982203275,BALLARD,1950.0,1.0,1.0,27553.0,0.0,27553.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,27553.0,RAS,0.0,RAS,0.0,63.0,35.09999847,38.29999924,69.30000305,72.59999847,966677.125,1054377.75,0.0,427592.0,539085.0,False,31.61,1.15
21389.0,NonResidential,Distribution Center,Double Y Investment Co.,4222 8th Ave NW,1982203385,BALLARD,1951.0,3.0,1.0,57310.0,0.0,57310.0,Distribution Center,Distribution Center,57310.0,RAS,0.0,RAS,0.0,65.44972577696527,21.89999962,24.39999962,48.0,51.20000076,1253745.5,1395637.75,0.0,687408.0,566337.0,False,34.87,0.61
21391.0,NonResidential,Mixed Use Property,On Ballard- 425 Westlake,425 Westlake Ave N.,1983200005,LAKE UNION,1920.0,1.0,2.0,25920.0,0.0,25920.0,"Office, Other, Other - Services, Residence Hall/Dormitory, Restaurant",Office,10109.0,Other - Services,7016.0,Restaurant,3609.0,65.44972577696527,38.20000076,41.29999924,102.9000015,109.0999985,989079.5,1071271.0,0.0,779325.0,209754.0,False,16.57,0.64
21396.0,NonResidential,Restaurant,Uptown Espresso Building (Block 38W) - SEDO,500-510 Westlake Ave. North,1983200170,LAKE UNION,1919.0,1.0,3.0,40686.0,0.0,40686.0,Restaurant,Restaurant,40686.0,RAS,0.0,RAS,0.0,65.44972577696527,51.79999924,53.79999924,97.59999847,99.40000153,2106073.5,2188575.25,0.0,842032.0,1264041.0,False,73.0,1.79
21397.0,NonResidential,Retail Store,Guitar Center (Block 38W) - SEDO,520-530 Westlake Ave. North,1983200180,LAKE UNION,1964.0,1.0,2.0,45271.0,0.0,45271.0,Retail Store,Retail Store,45271.0,RAS,0.0,RAS,0.0,57.0,56.40000153,64.30000305,112.1999969,119.0999985,2553763.5,2912179.5,0.0,1146853.0,1406910.0,False,82.72,1.83
21398.0,NonResidential,Small- and Mid-Sized Office,Clements Rice Building (Block 38W) - SEDO,534 Westlake Ave. North,1983200196,LAKE UNION,1920.0,1.0,3.0,28380.0,12180.0,16200.0,Office,Office,28380.0,RAS,0.0,RAS,0.0,62.0,48.40000153,53.0,110.0,114.9000015,1372213.375,1503529.375,0.0,804313.0,567900.0,False,35.77,1.26
21399.0,NonResidential,Large Office,Interurban Exchange IV/V & Van Vorst - SEDO,440 Terry Ave. North,1983200290,LAKE UNION,2009.0,1.0,5.0,508160.0,0.0,508160.0,"Food Service, Office, Parking",Office,329850.0,Parking,0.0,Food Service,11846.0,77.0,82.09999847,82.09999847,219.1000061,219.1000061,28053172.0,28053172.0,0.0,21725258.0,6327910.0,False,487.53,0.96
21401.0,NonResidential,Small- and Mid-Sized Office,511 Boren,511 Boren Avenue North,1983200350,LAKE UNION,1926.0,1.0,3.0,26176.0,0.0,26176.0,Office,Office,23730.0,RAS,0.0,RAS,0.0,95.0,40.70000076,45.29999924,79.59999847,84.30000305,966907.375,1074761.125,0.0,417532.0,549375.0,False,32.09,1.23
21413.0,NonResidential,Small- and Mid-Sized Office,Fairview,1000 Fairview Ave N,1984200105,LAKE UNION,1926.0,1.0,1.0,37740.0,0.0,37740.0,"Office, Parking",Office,37481.0,Parking,0.0,RAS,0.0,1.0,198.6000061,197.8999939,597.4000244,588.4000244,7442314.5,7419337.0,0.0,6974197.0,468117.0,False,73.48,1.95
21418.0,Nonresidential COS,Other,Northwest Rooms,394 1st Ave. N.,1985200003,MAGNOLIA / QUEEN ANNE,1961.0,1.0,1.0,26000.0,0.0,26000.0,Other,Other,49847.0,RAS,0.0,RAS,0.0,65.44972577696527,105.9000015,114.6999969,250.8999939,261.6000061,5277482.5,5719698.0,2097789.75,3179693.0,0.0,False,184.09,7.08
21424.0,NonResidential,Worship Facility,First Church Seattle,180 Denny Way,1985200090,MAGNOLIA / QUEEN ANNE,2009.0,1.0,3.0,23241.0,0.0,23241.0,Worship Facility,Worship Facility,23241.0,RAS,0.0,RAS,0.0,66.0,31.79999924,34.0,69.69999695,71.90000153,739210.5,789925.875,0.0,403459.0,335751.0,False,20.64,0.89
21425.0,NonResidential,Other,Pacific Science Center,200 Second Avenue North,1985200140,MAGNOLIA / QUEEN ANNE,1962.0,1.0,1.0,155795.0,0.0,155795.0,Other,Other,155795.0,RAS,0.0,RAS,0.0,65.44972577696527,113.4000015,121.0,317.6000061,330.7999878,17673018.0,18847708.0,0.0,14798552.0,2874465.0,False,255.83,1.64
21432.0,Nonresidential COS,Other,Fisher Pavilion,200 Thomas St,1985200245,MAGNOLIA / QUEEN ANNE,2002.0,1.0,1.0,21018.0,0.0,21018.0,Other,Other,21018.0,RAS,0.0,RAS,0.0,65.44972577696527,83.80000305,85.09999847,246.8999939,248.5,1761137.5,1789470.75,175780.0,1585357.0,0.0,False,24.62,1.17
21433.0,Nonresidential COS,Other,Chihuly Garden and Glass,305 Harrison St #30,1985200305,MAGNOLIA / QUEEN ANNE,1998.0,1.0,1.0,30533.0,0.0,30533.0,Museum,Museum,28631.0,RAS,0.0,RAS,0.0,65.44972577696527,206.1999969,216.3000031,408.5,415.0,5903015.0,6193701.5,0.0,2630916.0,3272098.0,False,192.12,6.29
21435.0,NonResidential,Other,space needle,400 broard street,1985200495,MAGNOLIA / QUEEN ANNE,1961.0,1.0,2.0,33971.0,0.0,33971.0,Other - Recreation,Other - Recreation,50000.0,RAS,0.0,RAS,0.0,65.44972577696527,51.90000153,53.90000153,131.0,134.25,17686444.0,18163924.0,0.0,9002735.0,8683709.0,False,523.95,0.88
21436.0,Nonresidential COS,Other,Seattle Children's Theatre,201 Thomas St.,1985200550,MAGNOLIA / QUEEN ANNE,1992.0,1.0,2.0,40600.0,0.0,40600.0,Other,Other,33000.0,RAS,0.0,RAS,0.0,65.44972577696527,56.40000153,56.0,174.6000061,174.3999939,2485521.0,2470816.0,137900.0,1509514.0,374537.0,False,41.06,1.01
21438.0,NonResidential,Small- and Mid-Sized Office,Sellen Construction Headquarters,227 Westlake Ave N,1986200070,LAKE UNION,1999.0,1.0,4.0,38038.0,0.0,38038.0,"Office, Parking",Office,38038.0,Parking,19600.0,RAS,0.0,84.0,52.70000076,53.59999847,165.3999939,168.3999939,2003807.75,2040142.0,0.0,2003807.0,0.0,False,13.97,0.37
21442.0,NonResidential,Small- and Mid-Sized Office,Terry Ave Building,225 Terry Avenue North,1986200245,LAKE UNION,2007.0,1.0,4.0,64596.0,24596.0,40000.0,"Office, Parking",Office,41591.0,Parking,21350.0,RAS,0.0,92.0,60.70000076,65.90000153,125.0,130.3999939,2524228.25,2739358.75,0.0,1219486.0,1304742.0,False,77.8,1.2
21443.0,NonResidential,Small- and Mid-Sized Office,219 Terry Building,219 Terry Ave. N.,1986200255,LAKE UNION,1928.0,1.0,3.0,41466.0,6062.0,35404.0,"Laboratory, Office, Parking",Office,35404.0,Laboratory,5000.0,Parking,1250.0,1.0,227.5,228.3999939,523.7000122,516.5,9190442.0,9228577.0,0.0,5506689.0,3683752.0,False,234.03,5.64
21445.0,NonResidential,Large Office,202 Westlake,202 Westlake Ave. N.,1986200275,LAKE UNION,2013.0,1.0,6.0,130710.0,100800.0,29910.0,"Bank Branch, Office, Parking, Restaurant",Office,120548.0,Parking,88960.0,Bank Branch,5436.0,92.0,56.79999924,56.79999924,166.3000031,166.3000031,7429423.0,7429423.0,0.0,6677063.0,752359.0,False,86.51,0.66
21447.0,NonResidential,Small- and Mid-Sized Office,224 Westlake,224 Westlake Ave. N.,1986200295,LAKE UNION,1926.0,1.0,4.0,35780.0,0.0,35780.0,"Office, Parking, Retail Store",Office,22341.0,Retail Store,8214.0,Parking,5225.0,77.0,62.59999847,64.80000305,196.6000061,203.3999939,1912760.75,1979164.25,0.0,1912760.0,0.0,False,13.33,0.37
21459.0,NonResidential,Mixed Use Property,Century,10 Harrison St.,1988200090,MAGNOLIA / QUEEN ANNE,1964.0,1.0,4.0,25132.0,7308.0,17824.0,"Office, Parking, Restaurant",Office,8061.0,Parking,8000.0,Restaurant,2095.0,41.0,55.59999847,57.70000076,174.6000061,181.1999969,564754.1875,585965.6875,0.0,564754.0,0.0,False,3.94,0.16
21464.0,Nonresidential COS,Other,Phelps Center,301 Mercer St.,1988200250,DOWNTOWN,1966.0,1.0,1.0,49680.0,0.0,49680.0,Other,Other,49680.0,RAS,0.0,RAS,0.0,65.44972577696527,57.29999924,58.20000076,119.5,120.6999969,2844685.0,2890473.75,1427730.0,1310105.0,0.0,False,119.34,2.4
21465.0,Nonresidential COS,Other,Playhouse,201 Mercer St.,1988200440,DOWNTOWN,1962.0,1.0,1.0,36314.0,0.0,36314.0,Other,Other,36314.0,RAS,0.0,RAS,0.0,65.44972577696527,50.5,51.90000153,117.5999985,119.0999985,1832808.75,1882952.875,204650.0,1110431.0,391578.0,False,44.33,1.22
21468.0,NonResidential,Other,Showbox Building,1412 1st Ave S,1975700560,DOWNTOWN,1916.0,1.0,2.0,25920.0,0.0,25920.0,"Other - Entertainment/Public Assembly, Restaurant, Retail Store",Other - Entertainment/Public Assembly,11888.0,Restaurant,4329.0,Retail Store,4029.0,65.44972577696527,62.09999847,60.79999924,195.1000061,190.8999939,1257774.625,1230670.25,0.0,1257774.0,0.0,False,8.77,0.34
21469.0,NonResidential,Small- and Mid-Sized Office,Doyle Building,119 Pine Street,1975700605,DOWNTOWN,1919.0,1.0,4.0,47686.0,0.0,47686.0,"Office, Retail Store",Office,25500.0,Retail Store,8500.0,RAS,0.0,72.0,60.90000153,65.40000153,140.1999969,145.5,2071670.25,2223121.25,897694.0,1173976.0,0.0,False,77.48,1.62
21474.0,NonResidential,Other,The Lusty Lady,1315 1st Ave,1976200060,DOWNTOWN,1900.0,1.0,3.0,49760.0,0.0,49760.0,Other,Other,24019.0,RAS,0.0,RAS,0.0,65.44972577696527,1.799999952,1.799999952,5.800000191,5.800000191,44293.5,44293.5,0.0,44294.0,0.0,False,0.31,0.01
